
 num     #instances         #bytes  class name
 354:             5           3344  [[Lorg.antlr.v4.runtime.atn.ATNConfig;
 355:           137           3288  java.security.Provider$ServiceKey
 356:           137           3288  scala.reflect.internal.Types$UniqueThisType
 357:            80           3200  org.antlr.v4.runtime.atn.LoopEndState
 358:           100           3200  org.spark_project.jetty.util.IncludeExclude
 359:           131           3144  java.util.Collections$UnmodifiableRandomAccessList
 360:            49           3136  org.apache.kafka.common.config.ConfigDef$ConfigKey
 361:            97           3104  org.apache.log4j.ProvisionNode
 362:            43           3096  sun.nio.ch.EPollArrayWrapper
 363:            43           3096  sun.nio.ch.EPollSelectorImpl
 364:           128           3072  org.spark_project.jetty.io.ByteBufferPool$Bucket
 365:           128           3072  org.spark_project.jetty.util.ConcurrentArrayQueue
 366:           128           3072  org.spark_project.jetty.util.ConcurrentArrayQueue$Block
 367:            60           3040  [[B
 368:           187           2992  java.util.concurrent.atomic.AtomicInteger
 369:           124           2976  java.util.concurrent.LinkedBlockingQueue$Node
 370:            93           2976  org.spark_project.jetty.http.HttpField
 371:           124           2976  scala.collection.IndexedSeqLike$Elements
 372:           186           2976  sun.reflect.generics.tree.ClassTypeSignature
 373:            29           2944  [Ljava.lang.invoke.MethodHandle;
 374:           182           2912  org.apache.spark.rdd.RDD$$anonfun$mapPartitionsInternal$1$$anonfun$apply$25
 375:            26           2912  sun.nio.ch.SocketChannelImpl
 376:           121           2904  org.apache.spark.shuffle.sort.BypassMergeSortShuffleHandle
 377:           121           2904  org.apache.spark.sql.execution.UnsafeRowSerializer
 378:           121           2904  org.apache.spark.sql.execution.exchange.ShuffleExchange$$anonfun$3
 379:           104           2880  [Lorg.apache.kafka.common.protocol.types.Field;
 380:            90           2880  java.lang.StackTraceElement
 381:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 382:            60           2880  org.antlr.v4.runtime.atn.StarBlockStartState
 383:            51           2856  scala.reflect.runtime.JavaMirrors$JavaMirror$FromJavaClassCompleter
 384:            71           2840  org.spark_project.jetty.http.HttpHeader
 385:            88           2816  java.io.File
 386:            50           2800  java.beans.MethodDescriptor
 387:            70           2800  java.io.ObjectStreamField
 388:            25           2800  org.spark_project.jetty.server.handler.gzip.GzipHandler
 389:           114           2736  java.util.regex.Pattern$Single
 390:            31           2728  org.apache.spark.sql.execution.DeserializeToObjectExec
 391:             1           2720  [Lscala.reflect.NameTransformer$OpCodes;
 392:            85           2720  java.lang.invoke.DirectMethodHandle
 393:           113           2712  org.apache.spark.streaming.dstream.ForEachDStream$$anonfun$1
 394:           112           2688  org.apache.spark.streaming.scheduler.JobScheduler$JobHandler
 395:            67           2680  org.antlr.v4.runtime.atn.OrderedATNConfigSet
 396:            30           2640  org.apache.spark.rdd.ZippedPartitionsRDD2
 397:            51           2616  [Ljavax.management.MBeanAttributeInfo;
 398:            65           2600  org.apache.spark.sql.execution.ui.SparkPlanGraphCluster
 399:            36           2592  org.spark_project.jetty.http.PathMap
 400:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 401:           159           2544  org.apache.spark.internal.config.TypedConfigBuilder$$anonfun$$lessinit$greater$1
 402:            76           2528  [Ljava.security.ProtectionDomain;
 403:           105           2520  java.lang.invoke.LambdaForm$NamedFunction
 404:           105           2520  org.antlr.v4.runtime.misc.IntervalSet
 405:           104           2496  org.apache.kafka.common.protocol.types.Schema
 406:            61           2440  scala.collection.immutable.Map$Map3
 407:            50           2400  javax.management.MBeanInfo
 408:            60           2400  org.antlr.v4.runtime.atn.StarLoopbackState
 409:            74           2368  org.spark_project.jetty.util.ArrayTernaryTrie
 410:            11           2360  [[Ljava.lang.String;
 411:            49           2352  java.util.logging.LogManager$LoggerWeakRef
 412:            72           2304  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 413:            32           2304  sun.reflect.DelegatingClassLoader
 414:             2           2296  [Lorg.spark_project.jetty.http.HttpStatus$Code;
 415:            57           2280  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 416:            94           2256  java.beans.MethodRef
 417:            40           2240  org.apache.spark.sql.catalyst.expressions.GreaterThan
 418:             1           2136  scala.reflect.internal.StdNames$nme$
 419:            87           2088  scala.reflect.internal.Types$PolyType
 420:           130           2080  [Ljava.security.Principal;
 421:           130           2080  java.security.ProtectionDomain$Key
 422:             1           2064  [Lorg.spark_project.jetty.http.HttpGenerator$PreparedResponse;
 423:           128           2048  java.util.concurrent.atomic.AtomicIntegerArray
 424:            64           2048  javax.management.MBeanAttributeInfo
 425:            85           2040  com.sun.jmx.mbeanserver.NamedObject
 426:            36           2016  scala.collection.immutable.Vector
 427:           125           2000  java.util.LinkedHashMap$LinkedValues
 428:            82           1952  [Ljava.lang.reflect.Type;
 429:           121           1936  org.apache.spark.CleanShuffle
 430:           121           1936  org.apache.spark.sql.execution.PartitionIdPassthrough
