Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
48.028: [GC (Allocation Failure) [PSYoungGen: 161994K->1386K(166400K)] 277747K->117375K(506880K), 0.0050431 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
48.133: [GC (Allocation Failure) [PSYoungGen: 161642K->1856K(166912K)] 277631K->118076K(507392K), 0.0065952 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
55.139: [GC (Allocation Failure) [PSYoungGen: 162112K->2889K(166912K)] 278332K->119245K(507392K), 0.0047395 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
55.217: [GC (Allocation Failure) [PSYoungGen: 164162K->1411K(167424K)] 280518K->119069K(507904K), 0.0044061 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
55.305: [GC (Allocation Failure) [PSYoungGen: 162691K->1989K(168448K)] 280349K->119791K(508928K), 0.0042339 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
55.395: [GC (Allocation Failure) [PSYoungGen: 164293K->2026K(164352K)] 282095K->120060K(504832K), 0.0040499 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
55.598: [GC (Allocation Failure) [PSYoungGen: 164330K->4881K(167424K)] 282364K->123075K(507904K), 0.0057442 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
55.662: [GC (Allocation Failure) [PSYoungGen: 166673K->2003K(167936K)] 284867K->122026K(508416K), 0.0047679 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
55.743: [GC (Allocation Failure) [PSYoungGen: 163795K->4864K(167424K)] 283818K->125568K(507904K), 0.0054847 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
55.822: [GC (Allocation Failure) [PSYoungGen: 166144K->736K(167936K)] 286848K->122228K(508416K), 0.0034109 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
55.982: [GC (Allocation Failure) [PSYoungGen: 162016K->5408K(166912K)] 283508K->127517K(507392K), 0.0048904 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
56.052: [GC (Allocation Failure) [PSYoungGen: 165664K->2877K(167424K)] 287773K->127253K(507904K), 0.0042986 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
56.143: [GC (Allocation Failure) [PSYoungGen: 163133K->3050K(167424K)] 287509K->128082K(507904K), 0.0066453 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
56.239: [GC (Allocation Failure) [PSYoungGen: 163818K->704K(167424K)] 288850K->126596K(507904K), 0.0039348 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
56.475: [GC (Allocation Failure) [PSYoungGen: 161472K->6632K(163840K)] 287364K->135684K(504320K), 0.0125943 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
56.548: [GC (Allocation Failure) [PSYoungGen: 163816K->1965K(165888K)] 292868K->133134K(506368K), 0.0038922 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
56.605: [GC (Allocation Failure) [PSYoungGen: 159149K->1881K(164864K)] 290318K->133461K(505344K), 0.0045753 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
56.671: [GC (Allocation Failure) [PSYoungGen: 159065K->2685K(165376K)] 290645K->134409K(505856K), 0.0040161 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
56.732: [GC (Allocation Failure) [PSYoungGen: 159869K->1043K(166400K)] 291593K->132911K(506880K), 0.0040546 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
56.810: [GC (Allocation Failure) [PSYoungGen: 159763K->990K(166400K)] 291631K->133249K(506880K), 0.0034580 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
56.893: [GC (Allocation Failure) [PSYoungGen: 159710K->6272K(164864K)] 291969K->138811K(505344K), 0.0046079 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
56.944: [GC (Allocation Failure) [PSYoungGen: 163456K->3006K(165888K)] 295995K->136123K(506368K), 0.0049972 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
56.996: [GC (Allocation Failure) [PSYoungGen: 159859K->6368K(165376K)] 292977K->139693K(505856K), 0.0052535 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
57.051: [GC (Allocation Failure) [PSYoungGen: 163552K->3120K(165888K)] 296877K->136541K(506368K), 0.0051090 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
57.109: [GC (Allocation Failure) [PSYoungGen: 160304K->4574K(165888K)] 293725K->138195K(506368K), 0.0045839 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
